ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location,Violent
10509277,HZ250919,5/3/2016 22:00,087XX S BURLEY AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,CHA PARKING LOT/GROUNDS,FALSE,FALSE,424,4,7,46,15,1199184,1847728,2016,5/10/2016 15:56,41.73697442,-87.545828,"(41.736974418, -87.545827999)",0
10509285,HZ250694,5/3/2016 21:00,029XX N MOBILE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2511,25,29,19,7,1133897,1918956,2016,5/10/2016 15:56,41.93382589,-87.78335189,"(41.933825894, -87.78335189)",0
10509311,HZ250961,5/3/2016 21:00,029XX S WALLACE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,TRUE,914,9,11,60,26,1172771,1885463,2016,5/10/2016 15:56,41.84114586,-87.64148388,"(41.841145857, -87.641483881)",0
10509328,HZ250653,5/3/2016 9:30,071XX S EAST END AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,324,3,8,43,7,1188770,1857957,2016,5/10/2016 15:56,41.7652989,-87.58365451,"(41.765298896, -87.583654511)",0
10509336,HZ250909,5/3/2016 20:30,066XX W RAVEN ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1611,16,41,10,6,1130812,1940757,2016,5/10/2016 15:56,41.99370385,-87.79418524,"(41.993703853, -87.794185238)",0
10509343,HZ250911,5/3/2016 15:30,0000X W CHESTNUT ST,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,OTHER,FALSE,FALSE,1832,18,42,8,11,1175628,1906198,2016,5/10/2016 15:56,41.8979804,-87.63037668,"(41.897980396, -87.630376682)",0
10509351,HZ250971,5/3/2016 22:10,064XX S PEORIA ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,723,7,16,68,08B,1171414,1862128,2016,5/10/2016 15:56,41.77714211,-87.64714727,"(41.777142114, -87.647147267)",1
10509362,HZ250948,5/3/2016 13:00,004XX N STATE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1834,18,42,8,6,1176302,1903096,2016,5/10/2016 15:56,41.88945317,-87.62799483,"(41.889453169, -87.627994833)",0
10509363,HZ250630,5/3/2016 22:30,009XX W DICKENS AVE,810,THEFT,OVER $500,RESIDENCE-GARAGE,FALSE,FALSE,1812,18,43,7,6,1169773,1914157,2016,5/10/2016 15:56,41.91994998,-87.65164906,"(41.919949978, -87.651649056)",0
10509413,HZ251000,5/4/2016 11:25,031XX S ASHLAND AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,912,9,11,59,14,1166183,1883676,2016,5/11/2016 15:50,41.83638523,-87.66571041,"(41.836385231, -87.66571041)",0
10509422,HZ250945,5/4/2016 11:15,083XX S STEWART AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,622,6,21,44,6,1175078,1849610,2016,5/11/2016 15:50,41.74271022,-87.63408818,"(41.742710224, -87.634088181)",0
10509410,HZ251003,5/3/2016 9:00,018XX N MASON AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,FALSE,FALSE,2531,25,29,25,11,1136460,1911565,2016,5/10/2016 15:56,41.91349864,-87.77410994,"(41.913498644, -87.774109939)",0
10509462,HZ250775,5/3/2016 20:30,032XX W POTOMAC AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1422,14,26,23,14,1154577,1908468,2016,5/10/2016 15:56,41.90465676,-87.70763425,"(41.904656764, -87.707634248)",0
