ID,Case_Number,Date,Block,IUCR,Primary_Type,Description,Location_Description,Arrest,Domestic,Beat,District,Ward,Community_Area,FBI_Code,X_Coordinate,Y_Coordinate,Year,Updated_On,Latitude,Longitude,Location,Violent
10532868,HZ276348,42491.5,051XX W 55TH ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",COMMERCIAL / BUSINESS OFFICE,TRUE,FALSE,814,8,23,56,11,1142940,1867661,2016,42523.66042,41.79290166,-87.75139653,"(41.79290166, -87.751396529)",0
10266671,HY437978,42272.62292,066XX S ST LAWRENCE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,FALSE,FALSE,321,3,20,42,15,,,2015,42516.66042,,,,0
10532911,HZ276385,42507.45833,023XX S SEELEY AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,1034,10,25,31,14,1163002,1888575,2016,42516.65903,41.84989585,-87.67724537,"(41.849895846, -87.677245367)",0
10532923,HZ276422,42496.75,045XX S MOZART ST,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,FALSE,FALSE,922,9,14,58,11,1158131,1874355,2016,42516.65903,41.8109752,-87.6955102,"(41.810975203, -87.695510199)",0
10532945,HZ276294,42495.75,091XX S MICHIGAN AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,634,6,6,49,6,1178756,1844403,2016,42516.65903,41.72833878,-87.62076995,"(41.728338776, -87.620769951)",0
10532954,HZ276599,42494.00069,051XX W WILSON AVE,1780,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,FALSE,FALSE,1623,16,45,15,20,1141297,1930097,2016,42516.65903,41.96426435,-87.75588092,"(41.964264352, -87.755880922)",1
10532956,HZ276511,42491.375,013XX W OHIO ST,560,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1215,12,27,24,08A,1167255,1904135,2016,42516.65903,41.89250352,-87.66118909,"(41.89250352, -87.661189087)",1
10532971,HZ276373,42508.79167,061XX S JUSTINE ST,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,713,7,15,67,5,1167059,1864021,2016,42516.65903,41.78243099,-87.66305854,"(41.782430993, -87.663058535)",0
10532992,HZ276196,42507.41667,039XX W LAKE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1122,11,27,26,6,1150264,1901405,2016,42516.65903,41.8853604,-87.72366161,"(41.885360399, -87.723661606)",0
10533005,HZ276529,42506.41667,053XX N WESTERN AVE,890,THEFT,FROM BUILDING,NURSING HOME/RETIREMENT HOME,FALSE,FALSE,2011,20,40,4,6,1159379,1935412,2016,42516.65903,41.97849532,-87.68925142,"(41.978495324, -87.689251423)",0
10533047,HZ276722,42499.41667,014XX N PAULINA ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1433,14,1,24,14,1164797,1909709,2016,42516.65903,41.90785146,-87.67005802,"(41.90785146, -87.670058018)",0
10533055,HZ276566,42490.79167,002XX E 13TH ST,810,THEFT,OVER $500,RESIDENCE-GARAGE,FALSE,FALSE,132,1,2,33,6,1178209,1894489,2016,42516.65903,41.86579186,-87.62125387,"(41.865791863, -87.621253866)",0
10533072,HZ275735,42507.57639,005XX W MADISON ST,870,THEFT,POCKET-PICKING,OTHER COMMERCIAL TRANSPORTATION,FALSE,FALSE,121,1,42,28,6,1173039,1900311,2016,42516.65903,41.88188393,-87.64006044,"(41.881883933, -87.640060441)",0
10533096,HZ276823,42502.375,075XX S VINCENNES AVE,1120,DECEPTIVE PRACTICE,FORGERY,CURRENCY EXCHANGE,FALSE,TRUE,623,6,17,69,10,1175759,1855198,2016,42516.65903,41.75802917,-87.63142597,"(41.758029165, -87.631425965)",0
10533131,HZ276645,42493.625,027XX N PINE GROVE AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER,FALSE,FALSE,1935,19,43,7,11,1172711,1918446,2016,42516.65903,41.93165459,-87.64072716,"(41.931654586, -87.640727161)",0
10533161,HZ276571,42496.5,087XX W HIGGINS RD,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1614,16,41,76,6,1117455,1938374,2016,42516.65903,41.98738488,-87.84336909,"(41.987384881, -87.843369092)",0
10533180,HZ276888,42497.39514,006XX N DEARBORN ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,1832,18,42,8,11,1175833,1904257,2016,42516.65903,41.89264958,-87.62968221,"(41.892649581, -87.629682213)",0
10533428,HZ277166,42506.125,078XX S MORGAN ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,FALSE,FALSE,621,6,17,71,26,1171002,1852939,2016,42516.65903,41.75193536,-87.64892568,"(41.751935361, -87.648925684)",0
10533544,HZ255990,42498.29167,054XX N LINDER AVE,560,ASSAULT,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1623,16,45,11,08A,1138518,1935752,2016,42516.65903,41.9798331,-87.76596095,"(41.979833102, -87.76596095)",1
10533554,HZ277213,42484.84444,063XX S DR MARTIN LUTHER KING JR DR,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,TRUE,312,3,20,69,26,,,2016,42516.65903,,,,0
10533753,HZ277424,42508.77083,079XX S LAFLIN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,612,6,21,71,14,1167710,1852276,2016,42516.65903,41.75018723,-87.66100837,"(41.750187225, -87.661008365)",0
10533784,HZ277393,42508.16667,023XX N HARDING AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2525,25,30,22,08B,1149662,1915232,2016,42516.65903,41.92331478,-87.7255125,"(41.923314779, -87.725512504)",1
10533787,HZ277358,42491.375,040XX N CAMPBELL AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,APARTMENT,FALSE,FALSE,1911,19,47,5,11,1158982,1926920,2016,42516.65903,41.95520102,-87.69094555,"(41.955201022, -87.690945553)",0
10533864,HZ266298,42506.3125,040XX W EISENHOWER EXPY OB,870,THEFT,POCKET-PICKING,CTA TRAIN,FALSE,FALSE,1132,11,24,26,6,1149643,1897287,2016,42516.65903,41.87407223,-87.72604905,"(41.874072232, -87.726049053)",0
10533879,HZ277502,42500.625,016XX N MAJOR AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,2531,25,29,25,6,1138144,1910399,2016,42516.65903,41.91026871,-87.76795141,"(41.910268707, -87.767951407)",0
10533915,HZ277532,42507.66667,060XX N TROY ST,1720,OFFENSE INVOLVING CHILDREN,CONTRIBUTE DELINQUENCY OF A CHILD,APARTMENT,FALSE,FALSE,2413,24,50,2,20,1154263,1940148,2016,42516.65903,41.99159517,-87.70793855,"(41.991595169, -87.707938554)",1
10533942,HZ277310,42504.77083,104XX S AVENUE M,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,FALSE,FALSE,432,4,10,52,08A,1201507,1836290,2016,42516.65903,41.70552902,-87.53770473,"(41.705529023, -87.537704734)",1
10533943,HZ277514,42503.86181,002XX W ADAMS ST,580,STALKING,SIMPLE,STREET,FALSE,FALSE,122,1,2,32,08A,1174461,1899407,2016,42516.65903,41.87937166,-87.63486595,"(41.879371661, -87.634865947)",0
10533945,HZ277420,42502.46875,084XX S YATES BLVD,460,BATTERY,SIMPLE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,423,4,7,46,08B,1193637,1849579,2016,42516.65903,41.74219121,-87.56608964,"(41.742191208, -87.566089637)",1
10533967,HZ277447,42501.41667,028XX N BROADWAY,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1934,19,44,6,11,1171646,1919176,2016,42516.65903,41.93368128,-87.64461928,"(41.933681278, -87.64461928)",0
10533974,HZ277610,42497.625,074XX S SANGAMON ST,610,BURGLARY,FORCIBLE ENTRY,VACANT LOT/LAND,FALSE,FALSE,733,7,17,68,5,1171262,1855541,2016,42516.65903,41.75906991,-87.64789694,"(41.759069905, -87.647896935)",0
10534063,HZ277546,42507.86458,041XX N OAKLEY AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1911,19,47,5,5,1160293,1927404,2016,42516.65903,41.95650208,-87.68611263,"(41.956502077, -87.686112627)",0
10534091,HZ277632,42498,012XX S SPAULDING AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,FALSE,FALSE,1022,10,24,29,5,1154560,1894222,2016,42516.65903,41.86556466,-87.70807797,"(41.865564662, -87.708077974)",0
10534092,HZ277705,42495.375,021XX N ELSTON AVE,860,THEFT,RETAIL THEFT,DEPARTMENT STORE,FALSE,FALSE,1432,14,32,22,6,1164551,1914302,2016,42516.65903,41.92046017,-87.67083136,"(41.92046017, -87.67083136)",0
10534158,HZ277733,42504.375,107XX S WESTERN AVE,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,BANK,FALSE,FALSE,2212,22,19,75,12,1162294,1833494,2016,42516.65903,41.69876079,-87.68137635,"(41.69876079, -87.681376348)",0
10534161,HZ277750,42499.375,0000X N LOTUS AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,FALSE,FALSE,1522,15,28,25,11,1139948,1899896,2016,42516.65903,41.88141438,-87.76158124,"(41.881414379, -87.761581241)",0
10534165,HZ277692,42506.41667,089XX S PHILLIPS AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,423,4,7,48,11,1194054,1846108,2016,42516.65903,41.73265627,-87.56467537,"(41.732656271, -87.564675369)",0
10534206,HZ277818,42493.45833,033XX W 79TH ST,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,834,8,18,70,6,1155669,1852007,2016,42516.65903,41.74969877,-87.70513951,"(41.749698766, -87.70513951)",0
10534218,HZ277807,42491.58333,103XX S UNION AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,VACANT LOT/LAND,FALSE,FALSE,2232,22,34,49,14,1173468,1836250,2016,42516.65903,41.70608427,-87.64038128,"(41.706084273, -87.64038128)",0
10534222,HZ277679,42507.45833,058XX N ELSTON AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1622,16,45,11,08B,1135992,1938915,2016,42516.65903,41.98855818,-87.77517493,"(41.988558181, -87.775174929)",1
10534279,HZ277716,42508.45069,091XX S PAULINA ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,2221,22,21,73,6,1166617,1843906,2016,42516.65903,41.72724209,-87.66525172,"(41.727242085, -87.665251715)",0
10534286,HZ278001,42507.41667,009XX N CROSBY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1822,18,27,8,14,1172077,1906823,2016,42516.65903,41.89977453,-87.64340059,"(41.899774531, -87.643400592)",0
10534289,HZ277865,42490.00069,035XX W 74TH ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,835,8,18,66,5,1154111,1855309,2016,42516.65903,41.75879107,-87.71076118,"(41.758791068, -87.710761178)",0
10533916,HZ277382,42498.58819,005XX W OHARE ST,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE,MOTOR VEH",AIRPORT VENDING ESTABLISHMENT,TRUE,FALSE,1654,16,41,76,11,1106527,1935924,2016,42745.66389,41.98082628,-87.88361132,"(41.980826277, -87.883611316)",0
10534303,HZ277997,42504.97917,023XX S KEDZIE AVE,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,1024,10,24,30,08B,1155391,1888373,2016,42516.65903,41.84949771,-87.70518441,"(41.849497705, -87.705184405)",1
10534316,HZ278033,42501.95833,046XX S LEAMINGTON AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE-GARAGE,FALSE,FALSE,814,8,23,56,5,1142804,1873455,2016,42516.65903,41.80880386,-87.75175148,"(41.808803861, -87.751751481)",0
10534327,HZ277951,42504.125,055XX S KEELER AVE,610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,FALSE,FALSE,813,8,13,62,5,1149311,1867486,2016,42516.65903,41.79230071,-87.728039,"(41.792300714, -87.728038997)",0
10534330,HZ278050,42508.00069,060XX S MOZART ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,823,8,15,66,11,1158412,1864533,2016,42516.65903,41.78401659,-87.69474714,"(41.784016586, -87.694747139)",0
10534424,HZ278167,42503.96806,107XX S LOOMIS ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,FALSE,2234,22,34,75,26,1168924,1833295,2016,42516.65903,41.69807442,-87.6571061,"(41.698074416, -87.657106103)",0
